Frequency Power
6.396039603960396169e-01 8.883314350546928084e-01
1.153465346534653602e+00 5.235369441235969701e-01
1.471287128712871484e+00 6.972950601311529439e-01
2.094059405940594143e+00 6.406025599356916789e-02
2.583168316831683242e+00 4.103262757242460146e-01
3.450495049504950451e+00 6.132358793618316595e-01
3.855445544554455761e+00 2.483265246323579922e-01
4.388118811881187575e+00 2.161555981579602881e-01
4.961386138613860908e+00 4.961051250478018537e-01
5.727722772277227037e+00 6.231196490129460308e-01
6.300990099009900369e+00 1.080479764142982940e-01
6.611881188118811536e+00 3.349365698458816043e-01
6.783168316831682532e+00 3.514585340006238234e-01
7.082178217821781807e+00 3.257396086132794411e-01
7.637623762376237302e+00 4.391705178845228263e-01
7.947524752475247034e+00 3.298003711760804091e-01
8.541584158415840733e+00 2.898448651994972591e-01
8.973267326732672799e+00 3.678043661010609311e-01
9.538613861386139092e+00 9.431184854357382852e-02
9.851485148514850465e+00 3.573407781688809903e-01
