Frequency Power
1.910891089108910923e-01 8.143984290704782414e-02
4.564356435643563970e-01 1.650618753096338986e-01
7.811881188118812158e-01 3.954127772833924276e-02
1.055445544554455495e+00 4.769719576656236693e-02
1.307920792079207972e+00 3.259800730237914501e-01
1.584158415841584233e+00 1.385444568289240751e-02
1.989108910891089321e+00 2.551027692281632175e-01
2.779207920792079456e+00 2.747544627444844512e-01
3.199009900990099187e+00 3.212621723456683676e-02
3.547524752475247567e+00 5.358776767184317974e-02
3.907920792079207839e+00 2.620504825133834759e-02
4.267326732673266676e+00 7.066262620130911269e-03
4.521782178217821802e+00 2.617748814258897411e-02
4.769306930693068658e+00 3.660385273240262388e-03
4.920792079207920722e+00 4.604109396024001245e-03
5.080198019801979825e+00 3.050870161296681971e-03
5.327722772277227570e+00 7.433538989180092822e-03
5.581188118811881260e+00 1.470384406127127168e-02
5.955445544554454962e+00 1.296698933163525393e-03
6.205940594059405235e+00 9.459294095468856814e-03
6.557425742574257477e+00 1.592676192356526441e-03
6.777227722772276586e+00 3.226616227236322933e-03
7.019801980198019820e+00 9.339028343743123461e-03
7.266336633663366129e+00 4.768277994735232138e-03
7.501980198019801982e+00 1.176507935352670564e-03
7.846534653465345954e+00 2.337069192120414408e-03
8.063366336633663423e+00 4.500180869027766957e-04
8.307920792079206862e+00 3.082477447188917540e-03
8.711881188118811181e+00 4.314260124756407778e-03
8.986138613861385238e+00 1.651551624010852339e-03
9.258415841584158201e+00 5.403263972192969954e-04
9.468316831683168289e+00 5.501366905715377852e-04
9.955445544554455850e+00 2.198329709606833098e-03
