Frequency Power
5.910891089108910590e-01 3.537386686859629870e-01
1.249504950495049505e+00 4.324006202033958135e-01
1.888118811881188241e+00 3.554913226007359872e-02
2.608910891089109008e+00 2.491738320182978333e-02
3.101980198019802071e+00 1.745649957463845173e-02
3.607920792079208017e+00 8.618050069963916968e-03
4.117821782178217482e+00 9.693563260643538529e-03
4.585148514851485224e+00 1.581068797432587034e-02
5.071287128712871350e+00 8.735404684085533444e-03
5.543564356435643603e+00 6.716605999998135137e-03
6.101980198019801627e+00 1.632919972480979896e-03
6.502970297029702529e+00 5.112057831232765491e-03
7.013861386138613874e+00 5.601764348698552200e-03
7.672277227722772430e+00 2.675773686988358775e-03
7.977227722772276763e+00 3.028159075297731043e-03
8.517821782178216949e+00 3.244533987072486646e-03
8.981188118811880727e+00 2.196658170533036247e-03
9.600990099009900192e+00 2.139342273593893007e-03
