2459945.698542	1.006104	0.004094
2459945.704097	0.962683	0.042641
2459945.709653	0.963877	0.036393
2459945.715208	1.037995	0.042465
2459945.720764	0.992182	0.001387
2459945.726319	0.986034	0.000151
2459945.731875	0.996578	0.015082
2459945.737431	0.976532	0.000204
2459945.742986	0.928585	0.043477
2459945.748542	0.963748	0.003652
2459945.754097	0.970343	0.007373
2459945.759653	0.950831	0.007458
2459945.765208	0.979726	0.025765
2459945.770764	0.946731	0.002544
2459945.776319	0.960287	0.015494
2459945.781875	0.964110	0.023451
2459945.787431	0.952057	0.015405
2459945.792986	0.914233	0.018481
2459945.798542	0.926813	0.002098
2459945.804097	0.926871	0.001900
2459945.809653	0.941162	0.019832
2459945.815208	0.930561	0.012865
2459945.820764	0.929822	0.015722
2459945.826319	0.939693	0.028961
2459945.831875	0.878170	0.029299
2459945.837431	0.887462	0.017101
2459945.842986	0.898744	0.002897
2459945.848542	0.906984	0.008039
2459945.854097	0.907477	0.011323
2459945.859653	0.884727	0.008709
2459945.865208	0.912724	0.021579
2459945.870764	0.902100	0.012956
2459945.876319	0.852503	0.034616
2459945.881875	0.883266	0.001995
2459945.887431	0.898587	0.015106
2459945.892986	0.884182	0.002301
2459945.898542	0.922421	0.042278
2459945.904097	0.858136	0.020608
2459945.909653	0.881999	0.004093
2459945.915208	0.855381	0.021800
2459945.920764	0.871330	0.005164
2459945.926319	0.821903	0.053857
2459945.931875	0.871607	0.003504
2459945.937431	0.866104	0.008807
2459945.942986	0.897048	0.022177
2459945.948542	0.868531	0.006361
2459945.954097	0.870567	0.004279
2459945.959653	0.884093	0.009075
2459945.965208	0.889016	0.013722
2459945.970764	0.878256	0.002499
2459945.976319	0.871264	0.005156
2459945.981875	0.904147	0.027107
2459945.987431	0.899113	0.021540
2459945.992986	0.882402	0.003965
2459945.998542	0.868763	0.010459
2459946.004097	0.894341	0.014140
2459946.009653	0.898039	0.016681
2459946.015208	0.881640	0.000678
2459946.020764	0.876609	0.006807
2459946.026319	0.853606	0.030945
2459946.031875	0.855696	0.030036
2459946.037431	0.883260	0.003644
2459946.042986	0.872911	0.014982
2459946.048542	0.890244	0.001222
2459946.054097	0.884064	0.006088
2459946.059653	0.871467	0.019614
2459946.065208	0.904166	0.011908
2459946.070764	0.891953	0.001205
2459946.076319	0.911263	0.017323
2459946.081875	0.923172	0.028467
2459946.087431	0.889577	0.005644
2459946.092986	0.884261	0.011499
2459946.098542	0.905551	0.009194
2459946.104097	0.882905	0.013866
2459946.109653	0.893022	0.003957
2459946.115208	0.892486	0.004646
2459946.120764	0.884449	0.012548
2459946.126319	0.891684	0.004788
2459946.131875	0.913743	0.017771
2459946.137431	0.913690	0.018372
2459946.142986	0.904827	0.010370
2459946.148542	0.904317	0.010950
2459946.154097	0.896911	0.004776
2459946.159653	0.869455	0.021152
2459946.165208	0.868614	0.020187
2459946.170764	0.900647	0.013800
2459946.176319	0.898126	0.013376
2459946.181875	0.875390	0.006929
2459946.187431	0.893426	0.013764
2459946.192986	0.880897	0.003925
2459946.198542	0.884487	0.010537
2459946.204097	0.888542	0.018192
2459946.209653	0.923960	0.057702
2459946.215208	0.895803	0.033273
2459946.220764	0.844152	0.014873
2459946.226319	0.845196	0.009680
2459946.231875	0.825749	0.024414
2459946.237431	0.854897	0.009591
2459946.242986	0.839184	0.000815
2459946.248542	0.829886	0.004902
2459946.254097	0.827170	0.002676
2459946.259653	0.865720	0.041110
2459946.265208	0.828703	0.009790
2459946.270764	0.829943	0.017027
2459946.276319	0.804550	0.002041
2459946.281875	0.828494	0.028029
2459946.287431	0.797441	0.002719
2459946.670764	1.259811	0.017448
2459946.676319	1.251903	0.004033
2459946.681875	1.259396	0.009697
2459946.687431	1.276432	0.005354
2459946.692986	1.289326	0.004741
2459946.698542	1.310595	0.004564
2459946.704097	1.311527	0.006160
2459946.709653	1.319088	0.009626
2459946.715208	1.362552	0.023381
2459946.720764	1.329906	0.019125
2459946.726319	1.363532	0.005105
2459946.731875	1.365463	0.001618
2459946.737431	1.395512	0.020325
2459946.742986	1.384480	0.001812
2459946.748542	1.372090	0.017371
2459946.754097	1.396300	0.000434
2459946.759653	1.422550	0.020952
2459946.765208	1.416200	0.009627
2459946.770764	1.429891	0.018843
2459946.776319	1.448493	0.033627
2459946.781875	1.429101	0.011294
2459946.787431	1.399751	0.020358
2459946.792986	1.410142	0.011686
2459946.798542	1.393888	0.028885
2459946.804097	1.423909	0.001012
2459946.809653	1.403655	0.018780
2459946.815208	1.428456	0.007245
2459946.820764	1.427599	0.008353
2459946.826319	1.396272	0.020328
2459946.831875	1.443438	0.030288
2459946.837431	1.399067	0.010016
2459946.842986	1.381046	0.023442
2459946.848542	1.397503	0.001610
2459946.854097	1.393592	0.000503
2459946.859653	1.383379	0.003085
2459946.865208	1.397282	0.018204
2459946.870764	1.340000	0.031111
2459946.876319	1.350513	0.011941
2459946.881875	1.345971	0.007104
2459946.887431	1.327400	0.015716
2459946.892986	1.340879	0.008571
2459946.898542	1.328356	0.007526
2459946.904097	1.331469	0.022487
2459946.909653	1.298149	0.001693
2459946.915208	1.317220	0.033764
2459946.920764	1.267777	0.001998
2459946.926319	1.230460	0.025060
2459946.931875	1.239673	0.000937
2459946.937431	1.214353	0.010750
2459946.942986	1.218860	0.009596
2459946.948542	1.200497	0.007229
2459946.954097	1.133526	0.043517
2459946.959653	1.170841	0.010613
2459946.965208	1.111698	0.031060
2459946.970764	1.126014	0.001056
2459946.976319	1.104441	0.002733
2459946.981875	1.060331	0.028474
2459946.987431	1.049260	0.021016
2459946.992986	1.028492	0.022733
2459946.998542	1.041617	0.009485
2459947.004097	1.036444	0.023118
2459947.009653	0.975920	0.018407
2459947.015208	0.979321	0.004080
2459947.020764	0.951296	0.004853
2459947.026319	0.908917	0.028302
2459947.031875	0.906470	0.011608
2459947.037431	0.925195	0.026213
2459947.042986	0.883015	0.002689
2459947.048542	0.859299	0.002732
2459947.054097	0.827769	0.016065
2459947.059653	0.822657	0.003644
2459947.065208	0.815804	0.006783
2459947.070764	0.781490	0.010417
2459947.076319	0.772287	0.003157
2459947.081875	0.756546	0.002926
2459947.087431	0.744892	0.000708
2459947.092986	0.726524	0.003219
2459947.098542	0.697542	0.018172
2459947.104097	0.691473	0.010978
2459947.109653	0.677924	0.011941
2459947.115208	0.681987	0.004255
2459947.120764	0.684097	0.017269
2459947.126319	0.622635	0.034083
2459947.131875	0.610828	0.036442
2459947.137431	0.611107	0.027494
2459947.142986	0.633425	0.002764
2459947.148542	0.588196	0.035429
2459947.154097	0.610619	0.007180
2459947.159653	0.618770	0.006215
2459947.165208	0.585104	0.022655
2459947.170764	0.621358	0.017206
2459947.176319	0.599612	0.001820
2459947.181875	0.588879	0.010349
2459947.187431	0.585827	0.011904
2459947.192986	0.567371	0.029840
2459947.198542	0.611140	0.013780
2459947.204097	0.594541	0.003740
2459947.209653	0.590226	0.009298
2459947.215208	0.625409	0.023756
2459947.220764	0.599949	0.004556
2459947.226319	0.605818	0.002321
2459947.231875	0.620032	0.008068
2459947.237431	0.583803	0.032610
2459947.242986	0.610988	0.010443
2459947.248542	0.633241	0.006200
2459947.254097	0.626722	0.006378
2459947.259653	0.600404	0.039083
2459947.265208	0.626947	0.019425
2459947.270764	0.634449	0.019244
2459947.276319	0.677046	0.015832
2459947.281875	0.663644	0.005426
2459947.287431	0.696192	0.018962
2459947.670764	1.061920	0.020483
2459947.676319	1.029617	0.015843
2459947.681875	1.046906	0.002510
2459947.687431	1.055375	0.001688
2459947.692986	1.067491	0.009614
2459947.698542	1.074243	0.012149
2459947.704097	1.072710	0.005999
2459947.709653	1.085423	0.014123
2459947.715208	1.051970	0.023966
2459947.720764	1.062081	0.018651
2459947.726319	1.064808	0.020731
2459947.731875	1.072993	0.017592
2459947.737431	1.095758	0.000008
2459947.742986	1.109075	0.008112
2459947.748542	1.083686	0.022357
2459947.754097	1.094023	0.017356
2459947.759653	1.106684	0.010094
